iter	Passed	Remaining
919	249232	21672
920	249519	21402
921	249821	21134
922	250097	20864
923	250364	20592
924	250636	20321
925	250920	20051
926	251194	19781
927	251467	19510
928	251753	19240
929	252024	18969
930	252318	18700
931	252597	18429
932	252858	18158
933	253112	17885
934	253408	17616
935	253678	17345
936	254014	17078
937	254299	16808
938	254607	16539
939	254876	16268
940	255188	16000
941	255442	15727
942	255697	15455
943	255972	15184
944	256227	14912
945	256470	14639
946	256768	14370
947	257014	14097
948	257299	13827
949	257602	13558
950	257875	13286
951	258201	13018
952	258456	12746
953	258729	12475
954	258962	12202
955	259239	11931
956	259574	11663
957	259854	11392
958	260159	11122
959	260445	10851
960	260717	10580
961	261008	10310
962	261282	10038
963	261576	9768
964	261835	9496
965	262139	9226
966	262456	8956
967	262708	8684
968	262959	8412
969	263239	8141
970	263507	7869
971	263818	7599
972	264108	7328
973	264406	7058
974	264650	6785
975	264888	6513
976	265165	6242
977	265417	5970
978	265772	5700
979	266030	5429
980	266329	5158
981	266588	4886
982	266894	4615
983	267145	4343
984	267421	4072
985	267668	3800
986	267976	3529
987	268231	3257
988	268514	2986
989	268752	2714
990	269039	2443
991	269319	2171
992	269582	1900
993	269857	1628
994	270112	1357
995	270362	1085
996	270661	814
997	270899	542
998	271168	271
999	271444	0
