iter	Passed	Remaining
746	29091	9853
747	29129	9813
748	29167	9774
749	29205	9735
750	29243	9696
751	29281	9656
752	29320	9617
753	29360	9579
754	29398	9539
755	29436	9500
756	29474	9461
757	29512	9422
758	29550	9382
759	29588	9343
760	29626	9304
761	29664	9265
762	29702	9226
763	29741	9187
764	29779	9147
765	29817	9108
766	29855	9069
767	29896	9031
768	29934	8991
769	29972	8952
770	30010	8913
771	30047	8874
772	30085	8834
773	30123	8795
774	30161	8756
775	30201	8717
776	30239	8678
777	30278	8639
778	30315	8600
779	30353	8561
780	30391	8521
781	30429	8483
782	30468	8444
783	30507	8405
784	30545	8366
785	30583	8326
786	30621	8287
787	30659	8248
788	30697	8209
789	30736	8170
790	30774	8131
791	30815	8092
792	30857	8054
793	30896	8015
794	30933	7976
795	30971	7937
796	31010	7898
797	31048	7859
798	31086	7820
799	31124	7781
800	31162	7741
801	31199	7702
802	31240	7664
803	31278	7625
804	31316	7585
805	31354	7546
806	31391	7507
807	31432	7469
808	31469	7429
809	31508	7390
810	31547	7351
811	31584	7312
812	31622	7273
813	31660	7234
814	31698	7195
815	31736	7156
816	31774	7117
817	31812	7078
818	31853	7039
819	31891	7000
820	31930	6961
821	31967	6922
822	32005	6883
823	32044	6844
824	32082	6805
825	32120	6766
826	32157	6727
827	32198	6688
828	32236	6649
829	32274	6610
830	32312	6571
831	32350	6532
832	32388	6493
833	32426	6454
834	32463	6415
835	32501	6375
836	32540	6336
837	32577	6297
838	32616	6258
839	32656	6220
840	32693	6181
841	32732	6142
842	32770	6103
843	32808	6064
844	32849	6025
845	32888	5986
846	32925	5947
847	32963	5908
848	33001	5869
849	33040	5830
850	33080	5792
851	33118	5752
852	33156	5713
853	33204	5676
854	33243	5637
855	33281	5598
856	33319	5559
857	33356	5520
858	33394	5481
859	33432	5442
860	33470	5403
861	33508	5364
862	33546	5325
863	33584	5286
864	33622	5247
865	33659	5208
866	33697	5169
867	33736	5130
868	33775	5091
869	33813	5052
870	33855	5014
871	33893	4975
872	33930	4936
873	33968	4897
874	34006	4858
875	34044	4819
876	34082	4780
877	34120	4741
878	34158	4702
879	34198	4663
880	34236	4624
881	34274	4585
882	34312	4546
883	34350	4507
884	34388	4468
885	34425	4429
886	34463	4390
887	34502	4351
888	34540	4312
889	34578	4273
890	34617	4234
891	34668	4197
892	34711	4159
893	34750	4120
894	34788	4081
895	34828	4042
896	34867	4003
897	34905	3964
898	34943	3925
899	34981	3886
900	35021	3848
901	35059	3809
902	35098	3770
903	35135	3731
904	35175	3692
905	35213	3653
906	35251	3614
907	35289	3575
908	35327	3536
909	35365	3497
910	35404	3458
911	35442	3419
912	35481	3381
913	35518	3342
914	35556	3303
915	35594	3264
916	35633	3225
917	35671	3186
918	35708	3147
919	35747	3108
920	35784	3069
921	35826	3030
922	35865	2991
923	35903	2953
924	35940	2914
925	35978	2875
926	36016	2836
927	36054	2797
928	36092	2758
929	36129	2719
930	36169	2680
931	36207	2641
932	36244	2602
933	36282	2563
934	36320	2524
935	36358	2486
936	36397	2447
937	36434	2408
938	36472	2369
939	36509	2330
940	36547	2291
941	36584	2252
942	36622	2213
943	36663	2174
944	36701	2136
945	36740	2097
946	36777	2058
947	36818	2019
948	36856	1980
949	36895	1941
950	36933	1902
951	36971	1864
952	37010	1825
953	37047	1786
954	37086	1747
955	37123	1708
956	37163	1669
957	37201	1630
958	37239	1592
959	37277	1553
960	37315	1514
961	37353	1475
962	37391	1436
963	37429	1397
964	37467	1358
965	37506	1320
966	37544	1281
967	37582	1242
968	37622	1203
969	37660	1164
970	37697	1125
971	37735	1087
972	37773	1048
973	37815	1009
974	37855	970
975	37893	931
976	37930	892
977	37968	854
978	38006	815
979	38044	776
980	38084	737
981	38122	698
